Title	Author	Star Rating	Review Count	Weeks on List
Sharp Objects	Gillian Flynn	4.2	7,811	6
The President Is Missing	Bill Clinton & James Patterson	4.3	6,665	11
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	42
The Handmaid's Tale	Margaret Atwood	4.1	15,354	47
The Outsider	Stephen King	4.4	4,188	13
Whisper Me This	Kerry Anne King	4.5	2,845	6
An American Marriage	Tayari Jones	4.4	2,834	10
Tailspin	Sandra Brown	4.3	N/A	1
Something in the Water	Catherine Steadman	3.8	1,262	10
His Banana	Penelope Bloom	4.5	1,197	3
I Will Never Leave You	S. M. Thayer	3.5	1,469	2
The Other Woman	Daniel Silva	4.4	1,969	5
1984	George Orwell	4.4	4,385	3
The Storyteller's Secret	Sejal Badani	4.7	7,603	1
China Rich Girlfriend	Kevin Kwan	4.4	1,579	1
Nanny and the Beast	Georgia Le Carre	4.4	N/A	1
Eleanor Oliphant Is Completely Fine	Gail Honeyman	4.6	5,657	3
Crazy Rich Asians	Kevin Kwan	4.2	3,755	7
China Rich Girlfriend	Kevin Kwan	4.4	1,579	2
Invisible	David Ellis & James Patterson	4.4	3,038	1
Two Weeks Notice	Whitney G.	4.4	1,227	4
Not So Nice Guy	R.S. Grey	4.6	N/A	1
Texas Ranger	James Patterson	3.9	N/A	1
