Title	Author	Star Rating	Review Count	Weeks on List
A Day in the Life of Marlon Bundo	Jill Twiss, Marlon Bundo & EG Keller	4.9	8,675	3
Ready Player One	Ernest Cline	4.6	19,096	26
Say You're Sorry	Melinda Leigh	4.4	6,165	12
The Great Alone	Kristin Hannah	4.6	7,163	9
Little Fires Everywhere	Celeste Ng	4.3	4,579	24
True Fiction	Lee Goldberg	4.4	2,861	5
The Return of Rafe MacKade	Nora Roberts	4.5	N/A	1
The Disappeared	C. J. Box	4.5	N/A	1
The Tuscan Child	Rhys Bowen	4.3	4,228	6
Bones Don't Lie	Melinda Leigh	4.7	1,549	3
River's End	Nora Roberts	4.6	N/A	1
Before We Were Yours	Lisa Wingate	4.7	10,654	37
Her Last Goodbye	Melinda Leigh	4.7	1,724	2
Digging In	Loretta Nyhan	4.4	2,215	4
An American Marriage	Tayari Jones	4.4	2,834	8
I Am Watching You	Teresa Driscoll	4.5	10,366	17
Trespassing	Brandi Reeds	4.6	2,383	2
The Lion, the Witch and the Wardrobe	C.S. Lewis	4.7	1,856	1
A Wrinkle in Time	Madeleine L'Engle	4.4	3,046	13
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	41
Ready Player One	Ernest Cline	4.6	19,096	27
When Never Comes	Barbara Davis	4.5	2,470	1
Say You're Sorry	Melinda Leigh	4.4	6,165	13
A Day in the Life of Marlon Bundo	Jill Twiss, Marlon Bundo & EG Keller	4.9	8,675	4
It Ends With Her	Brianna Labuskes	4.2	1,565	1
The Tuscan Child	Rhys Bowen	4.3	4,228	7
Little Fires Everywhere	Celeste Ng	4.3	4,579	25
The Great Alone	Kristin Hannah	4.6	7,163	10
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	42
True Fiction	Lee Goldberg	4.4	2,861	6
Before We Were Yours	Lisa Wingate	4.7	10,654	38
Rock Chick Reborn	Kristen Ashley	4.7	N/A	1
Bones Don't Lie	Melinda Leigh	4.7	1,549	4
P.S. I Hate You	Winter Renshaw	4.4	N/A	1
An American Marriage	Tayari Jones	4.4	2,834	9
Digging In	Loretta Nyhan	4.4	2,215	5
Heat Lightning	John Sandford	4.5	N/A	1
Her Last Goodbye	Melinda Leigh	4.7	1,724	3
Harvesting the Heart	Jodi Picoult	3.9	N/A	1
Vegas Baby	Amy Brent	3.6	N/A	1
Say You're Sorry	Melinda Leigh	4.4	6,165	14
Ready Player One	Ernest Cline	4.6	19,096	28
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	43
The Key to Rebecca	Ken Follett	4.3	N/A	1
Little Fires Everywhere	Celeste Ng	4.3	4,579	26
The Great Alone	Kristin Hannah	4.6	7,163	11
When Never Comes	Barbara Davis	4.5	2,470	2
The Fallen	David Baldacci	4.6	2,668	1
It Ends With Her	Brianna Labuskes	4.2	1,565	2
The Tuscan Child	Rhys Bowen	4.3	4,228	8
Before We Were Yours	Lisa Wingate	4.7	10,654	39
Wrapped In My Wife	Alexa Riley	4.5	N/A	1
Accidentally Married	R.R. Banks	4.4	N/A	1
Rebel Heir	Penelope Ward & Vi Keeland	4.5	N/A	1
True Fiction	Lee Goldberg	4.4	2,861	7
The End Zone	L.J. Shen	4.4	N/A	1
P.S. I Hate You	Winter Renshaw	4.4	N/A	2
Bones Don't Lie	Melinda Leigh	4.7	1,549	5
The Thief	J.R. Ward	4.7	N/A	1
After Anna	Lisa Scottoline	4.1	1,046	1
The Fallen	David Baldacci	4.6	2,668	2
Say You're Sorry	Melinda Leigh	4.4	6,165	15
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	44
Little Fires Everywhere	Celeste Ng	4.3	4,579	27
Ready Player One	Ernest Cline	4.6	19,096	29
Dirty Deeds	Lauren Landish	4.5	N/A	1
When Never Comes	Barbara Davis	4.5	2,470	3
Accidentally Married	R.R. Banks	4.4	N/A	2
The Great Alone	Kristin Hannah	4.6	7,163	12
Birthday Girl	Penelope Douglas	4.6	N/A	1
Before We Were Yours	Lisa Wingate	4.7	10,654	40
Less	Andrew Sean Greer	3.7	1,676	1
The Tuscan Child	Rhys Bowen	4.3	4,228	9
It Ends With Her	Brianna Labuskes	4.2	1,565	3
Bones Don't Lie	Melinda Leigh	4.7	1,549	6
Just One Look	Harlan Coben	4.3	N/A	1
After Anna	Lisa Scottoline	4.1	1,046	2
The Last Thing She Ever Did	Gregg Olsen	4.2	1,199	1
The Child Next Door	Shalini Boland	N/A	N/A	1
Twisted Prey	John Sandford	4.7	1,802	1
Twisted Prey	John Sandford	4.7	1,802	2
The Fallen	David Baldacci	4.6	2,668	3
The Handmaid's Tale	Margaret Atwood	4.1	15,354	32
Say You're Sorry	Melinda Leigh	4.4	6,165	16
When Never Comes	Barbara Davis	4.5	2,470	4
Little Fires Everywhere	Celeste Ng	4.3	4,579	28
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	45
The Great Alone	Kristin Hannah	4.6	7,163	13
Ready Player One	Ernest Cline	4.6	19,096	30
The Hardest Fall	Ella Maise	4.5	N/A	1
Crazy Rich Asians	Kevin Kwan	4.2	3,755	1
The Hellfire Club	Jake Tapper	N/A	N/A	1
I Dare You	Ilsa Madden-Mills	4.4	N/A	1
Before We Were Yours	Lisa Wingate	4.7	10,654	41
Accidentally Married	R.R. Banks	4.4	N/A	3
Only a Millionaire	J. S. Scott	4.6	N/A	1
It Ends With Her	Brianna Labuskes	4.2	1,565	4
Because I Love You	Amy Brent	3.9	N/A	1
The Beach House	Mary Alice Monroe	4.6	2,903	1
Giving Her My Baby	Alexa Riley	4.5	N/A	1
The 17th Suspect	James Patterson & Maxine Paetro	4.4	1,293	1
The Fallen	David Baldacci	4.6	2,668	4
The Handmaid's Tale	Margaret Atwood	4.1	15,354	33
A Court of Frost and Starlight	Sarah J. Maas	3.9	1,318	1
I Dare You	Ilsa Madden-Mills	4.4	N/A	2
The Burning Maze	Rick Riordan	4.7	N/A	1
Twisted Prey	John Sandford	4.7	1,802	3
Matchmaking for Beginners	Maddie Dawson	4.6	3,649	1
Lies That Bind Us	Andrew Hart	4.1	2,150	1
Ready Player One	Ernest Cline	4.6	19,096	31
Norse Mythology	Neil Gaiman	4.4	2,052	1
The Great Alone	Kristin Hannah	4.6	7,163	14
Little Fires Everywhere	Celeste Ng	4.3	4,579	29
When Never Comes	Barbara Davis	4.5	2,470	5
Before We Were Yours	Lisa Wingate	4.7	10,654	42
Say You're Sorry	Melinda Leigh	4.4	6,165	17
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	28
The Secret, Book & Scone Society	Ellery Adams	4.5	N/A	1
Worth Dying For	Lee Child	4.5	2,498	1
The Hardest Fall	Ella Maise	4.5	N/A	2
The Handmaid's Tale	Margaret Atwood	4.1	15,354	34
The Fallen	David Baldacci	4.6	2,668	5
Norse Mythology	Neil Gaiman	4.4	2,052	2
The 17th Suspect	James Patterson & Maxine Paetro	4.4	1,293	2
Little Fires Everywhere	Celeste Ng	4.3	4,579	30
Twisted Prey	John Sandford	4.7	1,802	4
Matchmaking for Beginners	Maddie Dawson	4.6	3,649	2
Lies That Bind Us	Andrew Hart	4.1	2,150	2
I Dare You	Ilsa Madden-Mills	4.4	N/A	3
The Great Alone	Kristin Hannah	4.6	7,163	15
Ready Player One	Ernest Cline	4.6	19,096	32
Before We Were Yours	Lisa Wingate	4.7	10,654	43
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	29
Say You're Sorry	Melinda Leigh	4.4	6,165	18
When Never Comes	Barbara Davis	4.5	2,470	6
Oh, the Places You'll Go	Dr. Seuss	4.8	4,729	6
The Hellfire Club	Jake Tapper	N/A	N/A	2
The Song of Achilles	Madeline Miller	4.4	2,689	1
The Hardest Fall	Ella Maise	4.5	N/A	3
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	46
The Wife Between Us	Greer Hendricks & Sarah Pekkanen	4.2	2,979	9
The Handmaid's Tale	Margaret Atwood	4.1	15,354	35
The Fallen	David Baldacci	4.6	2,668	6
The Outsider	Stephen King	4.4	4,188	1
Little Fires Everywhere	Celeste Ng	4.3	4,579	31
Sheltered	Alexa Riley	4.5	N/A	1
Oh, the Places You'll Go	Dr. Seuss	4.8	4,729	7
The 17th Suspect	James Patterson & Maxine Paetro	4.4	1,293	3
The Great Alone	Kristin Hannah	4.6	7,163	16
Before We Were Yours	Lisa Wingate	4.7	10,654	44
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	30
War Storm	Victoria Aveyard	3.8	N/A	1
Ready Player One	Ernest Cline	4.6	19,096	33
I Dare You	Ilsa Madden-Mills	4.4	N/A	4
Girl Last Seen	Nina Laurin	N/A	N/A	1
Say You're Sorry	Melinda Leigh	4.4	6,165	19
Matchmaking for Beginners	Maddie Dawson	4.6	3,649	3
Lies That Bind Us	Andrew Hart	4.1	2,150	3
Norse Mythology	Neil Gaiman	4.4	2,052	3
When Never Comes	Barbara Davis	4.5	2,470	7
The Outsider	Stephen King	4.4	4,188	2
The Handmaid's Tale	Margaret Atwood	4.1	15,354	36
The Alice Network	Kate Quinn	4.7	3,279	2
Little Fires Everywhere	Celeste Ng	4.3	4,579	32
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	47
The Fallen	David Baldacci	4.6	2,668	7
Before We Were Yours	Lisa Wingate	4.7	10,654	45
The Great Alone	Kristin Hannah	4.6	7,163	17
Fall of Giants	Ken Follett	4.5	7,566	1
The Mistake	K.L. Slater	4.1	N/A	1
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	31
Oh, the Places You'll Go	Dr. Seuss	4.8	4,729	8
The Red Ledger: 1	Meredith Wild	N/A	N/A	1
Ready Player One	Ernest Cline	4.6	19,096	34
The 17th Suspect	James Patterson & Maxine Paetro	4.4	1,293	4
